Material Id,Material Name,Material Group,Plant,Closing Stock,Replenishment Quantity,6 April 2025 Sales Quantity Forecast,6 April 2025 Cashflow Forecast,13 April 2025 Sales Quantity Forecast,13 April 2025 Cashflow Forecast,20 April 2025 Sales Quantity Forecast,20 April 2025 Cashflow Forecast,27 April 2025 Sales Quantity Forecast,27 April 2025 Cashflow Forecast,Aging Risk
10-0002147,LIVOGEN TAB15S,PH-TAB,Chennai,945,0,120,476,60,238,45,178,30,119,<3 Months
10-0002183,MEFTALSPAS 250MG TAB 10S,PH-TAB,Chennai,92,0,8,25,6,19,14,44,12,38,<3 Months
10-0002202,MONTAIR LC 10MG TAB15S,PH-TAB,Chennai,541,0,2,30,0,0,0,0,0,0,<3 Months
10-0002328,THYRONORM 25MCG TAB 120BT,PH-TAB,Chennai,6,0,0,0,1,129,0,0,1,129,<3 Months
10-0002376,XYZAL TAB 5MG15S,PH-TAB,Chennai,57,0,5,42,10,83,2,17,9,75,<3 Months
10-0002414,MENACTRA VACC4MCG0.5ML,PH-VACC,Chennai,30,0,7,23967,3,10272,2,6848,4,13695,No Risk
10-0002425,ROTATEQ ORALVACC2ML,PH-VACC,Chennai,32,0,5,3428,3,2057,4,2742,5,3428,<3 Months
10-0003004,ALEX  SYRUP 100 ML,PH-SYRUPS,Chennai,16,18,8,727,6,630,6,533,4,436,<3 Months
10-0003112,KIDRICH - D3 DROPS 800 IU 15 ML,PH-DROP,Chennai,114,0,3,265,2,177,4,353,6,485,<3 Months
10-0003146,NS PREFILED 3 ML,PH-INJ,Chennai,254,0,19,421,0,0,8,177,1,22,<3 Months
10-0003168,ICUBAC INJ 500 MG,PH-INJ,Chennai,73,0,4,317,8,634,12,951,8,634,<3 Months
10-0003493,DUVADILAN10MG TAB 50BT,PH-TAB,Chennai,138,276,28,84,60,181,100,301,152,457,<3 Months
10-0004026,LIVOGEN XT TAB10S,PH-TAB,Chennai,150,0,15,169,25,281,35,393,20,225,<3 Months
10-0004066,EMESET TAB 4MG10S,PH-TAB,Chennai,146,0,11,36,9,30,6,20,18,59,<3 Months
10-0004179,LEVOLIN SYRUP 1MG 100ML,PH-SYRUPS,Chennai,24,16,7,143,8,164,9,184,7,143,<3 Months
10-0004315,VICRYL RAPID 2-0 NW 2777,PH-SUT,Chennai,45,0,6,2299,3,1149,2,766,3,1149,<3 Months
10-0004707,SIMILAC NEOSURE POWDER REFIL 400 GM,PH-POW,Chennai,17,1,5,2499,3,1499,2,999,2,999,<3 Months
10-0005375,ROPIN  INJ  0.2 % 20 ML,PH-INJ,Chennai,33,0,2,124,3,186,2,124,1,62,<3 Months
10-0005524,FRUSEMIDE INJ 2 ML (SWISS CRITICURE),PH-INJ,Chennai,73,0,3,9,6,19,5,16,4,12,<3 Months
10-0005561,CANSOFT-CL VAGINAL SUPPOSITORIES  3S,PH-SUPP,Chennai,22,0,1,88,4,354,2,177,1,88,<3 Months
10-0005607,MOTHER GOWN,GN-LIN,Chennai,62,0,4,760,2,380,2,285,3,570,<3 Months
10-0005912,HUF PUF KIT,PH-GEN,Chennai,18,0,2,1405,2,1236,2,1124,2,955,<3 Months
10-0005948,SOOTER (AUTO FLOW),PH-GEN,Chennai,56,0,7,111,7,111,4,63,3,48,<3 Months
10-0005956,TEDIBAR SOAP 75 GM,PH-GEN,Chennai,12,0,2,187,1,125,0,62,0,62,<3 Months
10-0005960,UGGU GINEY  (PALADA),PH-GEN,Chennai,94,0,0,0,0,0,0,0,0,0,<3 Months
10-0006086,DECMAX TAB 4MG8S,PH-TAB,Chennai,118,0,15,53,10,35,8,28,13,46,<3 Months
10-0006150,JENVAC VACCPFS0.5ML,PH-VACC,Chennai,38,2,10,4178,6,2507,5,2089,6,2507,<3 Months
